missingness,seed,imputer,model,accuracy,f1,auc,rows_remaining
0.0,0,None,Logistic Regression,0.9824561403508771,0.9861111111111112,0.9953703703703703,455
0.0,0,None,Random Forest,0.956140350877193,0.9655172413793104,0.9937169312169312,455
0.1,1,Mean,Logistic Regression,0.956140350877193,0.965034965034965,0.9930555555555555,455
0.1,1,Mean,Random Forest,0.9473684210526315,0.9583333333333334,0.9900793650793651,455
0.1,1,Median,Logistic Regression,0.9473684210526315,0.9577464788732394,0.9930555555555555,455
0.1,1,Median,Random Forest,0.9473684210526315,0.9583333333333334,0.9905753968253969,455
0.1,1,KNN,Logistic Regression,0.956140350877193,0.965034965034965,0.9947089947089947,455
0.1,1,KNN,Random Forest,0.9473684210526315,0.9583333333333334,0.9927248677248678,455
0.1,2,Complete-case,Logistic Regression,0.8571428571428571,0.9090909090909091,1.0,14
0.1,2,Complete-case,Random Forest,0.8571428571428571,0.8888888888888888,0.9,14
0.1,2,Mean,Logistic Regression,0.9649122807017544,0.9722222222222222,0.9950396825396826,455
0.1,2,Mean,Random Forest,0.9298245614035088,0.9436619718309859,0.9914021164021164,455
0.1,2,Median,Logistic Regression,0.956140350877193,0.965034965034965,0.9950396825396826,455
0.1,2,Median,Random Forest,0.9122807017543859,0.9285714285714286,0.9910714285714286,455
0.1,2,KNN,Logistic Regression,0.9824561403508771,0.9861111111111112,0.9966931216931216,455
0.1,2,KNN,Random Forest,0.9385964912280702,0.951048951048951,0.9912367724867724,455
0.1,3,Complete-case,Logistic Regression,1.0,1.0,1.0,24
0.1,3,Complete-case,Random Forest,1.0,1.0,1.0,24
0.1,3,Mean,Logistic Regression,0.956140350877193,0.9645390070921985,0.9947089947089948,455
0.1,3,Mean,Random Forest,0.9210526315789473,0.9361702127659575,0.9925595238095237,455
0.1,3,Median,Logistic Regression,0.956140350877193,0.9645390070921985,0.9940476190476191,455
0.1,3,Median,Random Forest,0.9298245614035088,0.9436619718309859,0.9909060846560847,455
0.1,3,KNN,Logistic Regression,0.9649122807017544,0.9722222222222222,0.9930555555555555,455
0.1,3,KNN,Random Forest,0.9385964912280702,0.951048951048951,0.9930555555555556,455
0.1,4,Mean,Logistic Regression,0.9473684210526315,0.9577464788732394,0.9927248677248677,455
0.1,4,Mean,Random Forest,0.9473684210526315,0.9583333333333334,0.9915674603174603,455
0.1,4,Median,Logistic Regression,0.9649122807017544,0.971830985915493,0.9927248677248677,455
0.1,4,Median,Random Forest,0.9473684210526315,0.9583333333333334,0.9943783068783069,455
0.1,4,KNN,Logistic Regression,0.9824561403508771,0.9861111111111112,0.9937169312169312,455
0.1,4,KNN,Random Forest,0.9298245614035088,0.9436619718309859,0.9938822751322751,455
0.1,5,Complete-case,Logistic Regression,1.0,1.0,1.0,21
0.1,5,Complete-case,Random Forest,1.0,1.0,1.0,21
0.1,5,Mean,Logistic Regression,0.9824561403508771,0.9861111111111112,0.9940476190476191,455
0.1,5,Mean,Random Forest,0.9473684210526315,0.9583333333333334,0.9918981481481481,455
0.1,5,Median,Logistic Regression,0.956140350877193,0.965034965034965,0.9923941798941799,455
0.1,5,Median,Random Forest,0.9385964912280702,0.951048951048951,0.9894179894179894,455
0.1,5,KNN,Logistic Regression,0.9736842105263158,0.9793103448275862,0.9933862433862434,455
0.1,5,KNN,Random Forest,0.956140350877193,0.9655172413793104,0.9917328042328043,455
0.2,1,Mean,Logistic Regression,0.9736842105263158,0.9790209790209791,0.996031746031746,455
0.2,1,Mean,Random Forest,0.9385964912280702,0.951048951048951,0.9889219576719577,455
0.2,1,Median,Logistic Regression,0.956140350877193,0.965034965034965,0.9950396825396826,455
0.2,1,Median,Random Forest,0.9298245614035088,0.9444444444444444,0.988260582010582,455
0.2,1,KNN,Logistic Regression,0.9649122807017544,0.9722222222222222,0.996031746031746,455
0.2,1,KNN,Random Forest,0.9473684210526315,0.958904109589041,0.9922288359788359,455
0.2,2,Mean,Logistic Regression,0.956140350877193,0.965034965034965,0.9943783068783069,455
0.2,2,Mean,Random Forest,0.9385964912280702,0.951048951048951,0.9894179894179894,455
0.2,2,Median,Logistic Regression,0.9649122807017544,0.9722222222222222,0.9930555555555556,455
0.2,2,Median,Random Forest,0.9473684210526315,0.9583333333333334,0.9879298941798943,455
0.2,2,KNN,Logistic Regression,0.956140350877193,0.965034965034965,0.9914021164021164,455
0.2,2,KNN,Random Forest,0.9210526315789473,0.9370629370629371,0.9889219576719578,455
0.2,3,Mean,Logistic Regression,0.956140350877193,0.965034965034965,0.9890873015873016,455
0.2,3,Mean,Random Forest,0.9385964912280702,0.951048951048951,0.9894179894179894,455
0.2,3,Median,Logistic Regression,0.9649122807017544,0.9722222222222222,0.9927248677248678,455
0.2,3,Median,Random Forest,0.9385964912280702,0.951048951048951,0.9890873015873016,455
0.2,3,KNN,Logistic Regression,0.9824561403508771,0.9861111111111112,0.9943783068783069,455
0.2,3,KNN,Random Forest,0.9473684210526315,0.9583333333333334,0.9912367724867724,455
0.2,4,Mean,Logistic Regression,0.9385964912280702,0.951048951048951,0.9917328042328042,455
0.2,4,Mean,Random Forest,0.9385964912280702,0.951048951048951,0.9856150793650793,455
0.2,4,Median,Logistic Regression,0.9298245614035088,0.9428571428571428,0.9890873015873016,455
0.2,4,Median,Random Forest,0.9210526315789473,0.9361702127659575,0.9866071428571428,455
0.2,4,KNN,Logistic Regression,0.956140350877193,0.9655172413793104,0.9957010582010581,455
0.2,4,KNN,Random Forest,0.9298245614035088,0.9436619718309859,0.9918981481481481,455
0.2,5,Mean,Logistic Regression,0.956140350877193,0.965034965034965,0.9950396825396826,455
0.2,5,Mean,Random Forest,0.9473684210526315,0.9583333333333334,0.9856150793650794,455
0.2,5,Median,Logistic Regression,0.9385964912280702,0.950354609929078,0.9943783068783069,455
0.2,5,Median,Random Forest,0.9473684210526315,0.9583333333333334,0.9879298941798942,455
0.2,5,KNN,Logistic Regression,0.9824561403508771,0.9861111111111112,0.9983465608465608,455
0.2,5,KNN,Random Forest,0.9473684210526315,0.9583333333333334,0.9925595238095237,455
0.3,1,Mean,Logistic Regression,0.9736842105263158,0.9790209790209791,0.9973544973544974,455
0.3,1,Mean,Random Forest,0.9385964912280702,0.9517241379310345,0.9915674603174602,455
0.3,1,Median,Logistic Regression,0.9736842105263158,0.9790209790209791,0.9957010582010583,455
0.3,1,Median,Random Forest,0.9210526315789473,0.9370629370629371,0.9856150793650794,455
0.3,1,KNN,Logistic Regression,0.9736842105263158,0.9790209790209791,0.9980158730158729,455
0.3,1,KNN,Random Forest,0.9473684210526315,0.9577464788732394,0.9909060846560847,455
0.3,2,Mean,Logistic Regression,0.9824561403508771,0.9861111111111112,0.998015873015873,455
0.3,2,Mean,Random Forest,0.9298245614035088,0.9436619718309859,0.992228835978836,455
0.3,2,Median,Logistic Regression,0.9736842105263158,0.9787234042553191,0.9983465608465609,455
0.3,2,Median,Random Forest,0.9385964912280702,0.951048951048951,0.9917328042328043,455
0.3,2,KNN,Logistic Regression,0.9736842105263158,0.9793103448275862,0.9963624338624338,455
0.3,2,KNN,Random Forest,0.9649122807017544,0.9722222222222222,0.9947089947089947,455
0.3,3,Mean,Logistic Regression,0.9385964912280702,0.951048951048951,0.9910714285714286,455
0.3,3,Mean,Random Forest,0.9385964912280702,0.951048951048951,0.9904100529100528,455
0.3,3,Median,Logistic Regression,0.9385964912280702,0.950354609929078,0.9910714285714286,455
0.3,3,Median,Random Forest,0.9210526315789473,0.9370629370629371,0.9890873015873016,455
0.3,3,KNN,Logistic Regression,0.9736842105263158,0.9793103448275862,0.9943783068783069,455
0.3,3,KNN,Random Forest,0.9385964912280702,0.9517241379310345,0.9935515873015872,455
0.3,4,Mean,Logistic Regression,0.9210526315789473,0.9361702127659575,0.9887566137566137,455
0.3,4,Mean,Random Forest,0.9385964912280702,0.951048951048951,0.9872685185185185,455
0.3,4,Median,Logistic Regression,0.9298245614035088,0.9428571428571428,0.9917328042328043,455
0.3,4,Median,Random Forest,0.9122807017543859,0.9285714285714286,0.9869378306878307,455
0.3,4,KNN,Logistic Regression,0.9210526315789473,0.935251798561151,0.9927248677248678,455
0.3,4,KNN,Random Forest,0.9473684210526315,0.9583333333333334,0.9932208994708995,455
0.3,5,Mean,Logistic Regression,0.9473684210526315,0.9571428571428572,0.9933862433862434,455
