missingness,model,accuracy,f1,auc,rows_remaining
0.0,Logistic Regression,0.9824561403508771,0.9861111111111112,0.9953703703703703,455
0.0,Random Forest,0.956140350877193,0.9655172413793104,0.9937169312169312,455
0.1,Logistic Regression,0.9035087719298246,0.9290322580645162,0.9828042328042328,18
0.1,Random Forest,0.8771929824561403,0.9113924050632911,0.9728835978835978,18
0.2,Logistic Regression,,,,1
0.2,Random Forest,,,,1
0.3,Logistic Regression,,,,0
0.3,Random Forest,,,,0
0.5,Logistic Regression,,,,0
0.5,Random Forest,,,,0
